 ,Image_ID,ROI_Area,PVALB,VIP,GFRA1,CCKAR,MET,PIEZO1,CHAT,FOXO1,SLC17a7,CDH13,QRFPR,Mab21L1
3093,20-62-S1,2020,29.554,0.149,0,0,0.594,0.05,0.05,0.446,0.198,7.673,0,0.099
3094,20-62-S1,2271,0.308,0.528,0,0.44,0.352,0.616,0.088,0.22,22.017,0.132,0.176,0.044
3095,20-62-S1,1077,0.464,0.279,0,0.279,0.093,0.371,0,0.186,6.592,0.279,0.836,0
3096,20-62-S1,173,0,0,0,0,0,2.89,0,0,15.607,0,1.156,0
3097,20-62-S1,3006,0.033,0,0,0,0.067,0.798,0,0.333,28.543,5.955,0.166,0
3098,20-62-S1,1740,8.391,0.172,0,0.057,0.115,0.287,0,0.632,11.782,17.586,0.575,0
3099,20-62-S1,669,0.598,0,0,0,0.149,1.196,0,1.046,9.716,0,0,0
3100,20-62-S1,1273,0,0,0,0,0.864,0.157,0,0,12.883,0.393,0.157,0
3101,20-62-S1,2328,1.976,0.215,0,0.129,0.129,0.387,0.215,0.043,6.057,0,0.301,0
3102,20-62-S1,1493,0.737,0,0,0,0.737,1.273,0,0,2.478,0.402,0,0.067
3103,20-62-S1,2847,0.176,0.14,0,0.105,0.948,2.143,0.281,1.089,22.691,0.035,0.738,0.07
3104,20-62-S1,1057,0.284,0,0,0,1.419,0.568,0,0.095,10.218,14.57,0.284,0
3105,20-62-S1,1499,1.734,0,0,0,2.935,0.867,0.2,0.067,12.942,4.403,1.734,0
3106,20-62-S1,1458,0.96,0.343,0,0.274,1.715,1.578,0.274,1.235,40.329,0.617,1.029,0.069
3107,20-62-S1,807,0.62,0,0,0,1.983,0.248,0,0.124,3.346,0,0.124,0.124
3108,20-62-S1,2730,2.088,0.11,0,0.073,2.051,0.733,0.22,0,5.641,0.33,0.476,0
3109,20-62-S1,82,0,0,0,0,0,1.22,0,0,39.024,0,0,0
3110,20-62-S1,1599,11.507,0,0,0,0.75,0.563,0.063,0.063,4.128,3.127,0.25,0
3111,20-62-S1,955,8.796,0,0,0.105,0,0,0,0.105,0.524,0.419,0,0
3112,20-62-S1,1494,0,0,0,0,0.937,0.402,0,0,1.138,0,0.067,0.134
3113,20-62-S1,2021,0.049,0.198,0,0.148,0.643,1.138,0,0,4.255,0.247,0.049,0
3114,20-62-S1,1722,31.882,0,0,0,0.407,1.22,0.116,0.174,1.22,7.666,0,0
3115,20-62-S1,1510,0.861,0,0,0.066,0.861,1.258,0,0,2.185,0.132,0,0
3116,20-62-S1,1155,0.693,0,0,0,0.433,0.346,0,0.087,0.433,0,0,0
3117,20-62-S1,2155,0.232,0,0,0.093,1.067,0.882,0,0.046,5.104,0.51,0,0
3118,20-62-S1,193,0,0,0,0.518,11.917,1.036,0,0,8.808,0.518,0,0
